,Calories (kcal),joules (kJ),Glucides (g),Protides (g),Lipides (g),Sodium (mg),Potassium (mg),Magnésium (mg),Calcium (mg)
Abricot frais,50,209,"11,2","0,8","0,2",2,278,62,16
Abricot sec,277,1158,"63,4","4,6","0,4",26,1370,62,67
Abricot sucré en conserve,88,368,21,"0,6","0,1",2,250,7,9
Airelle fraîche,25,"104,5",5,"0,2","0,4",3,320,20,56
Amande sèche,620,2592,17,20,54,4,800,254,254
Ananas frais,51,213,12,"0,5","0,2",2,250,11,12
Ananas sucré en conserve,96,401,23,"0,4","0,2",2,120,8,20
Avocat,167,698,"4,7","2,1","16,4",4,680,45,10
Banane fraîche,90,376,20,"1,4","0,5",3,380,35,11
Cacahuète (Arachide sèche),560,2341,26,23,40,120,740,180,12
Cassis frais,65,251,16,"1,3","0,4",2,325,24,55
Cerise douce,77,322,17,"1,2","0,5",3,250,12,18
Cerise en conserve,53,222,12,"0,2","0,6",3,180,10,12
Châtaigne fraîche,207,865,"42,8","3,7","2,3",4,470,41,11
Châtaigne sèche,371,1551,73,"7,4",5,37,986,74,74
Citron frais,40,167,"7,8","0,8","0,6",6,160,12,11
Cocktail de fruits en conserve,78,326,"18,2","0,4","0,3",5,160,8,9
Coing,44,184,"9,8","0,4","0,3",3,203,6,10
Cynorrhodon,116,485,25,4,4,5,165,15,75
Datte fraîche,165,699,37,2,1,5,350,63,34
Datte sèche,306,1279,73,"2,2","0,6",1,650,63,71
Figue fraîche,74,309,"16,6","1,1","0,3",3,238,21,46
Figue sèche,305,1274,"69,1","4,2","1,3",40,1010,70,126
Fraise fraîche,36,150,7,"0,7","0,5",12,160,3,17
Fraise sucrée en conserve,113,472,"27,3","0,5","0,2",7,107,7,20
Framboise fraîche,40,167,8,1,"0,6",3,210,22,45
Framboise sucrée en conserve,95,397,"22,5","0,6","0,3",2,100,13,18
Goyave fraîche,76,318,17,"0,7","0,6",4,390,20,15
Grenade fraîche,66,276,16,"0,3","0,1",7,379,3,11
Groseille rouge,41,171,"8,6","1,1","0,2",2,290,13,19
Groseille à maquereau,30,125,5,1,"0,5",3,213,7,15
Kaki frais,42,176,9,"0,7","0,4",3,210,7,15
Kiwi,42,176,9,"0,7","0,4",3,210,7,15
Limette fraîche,51,213,12,"0,6","0,1",20,400,10,40
Litchi frais,68,284,16,"0,7","0,1",4,150,14,25
Loganberry frais,63,263,14,1,"0,6",3,257,25,35
Mandarine,52,217,"11,6","0,7","0,3",5,250,11,33
Mirabelle,45,188,10,"0,7","0,2",2,230,15,12
Mûre sauvage,37,155,"6,2","0,9","0,9",3,190,25,18
Mûre de culture,57,238,12,1,"0,6",2,257,15,36
Myrtille,69,288,"15,3","0,6","0,6",1,90,12,4
Nectarine,64,268,15,"0,7","0,1",9,268,12,4
Nèfle fraîche,98,410,23,"0,4","0,4",6,250,11,30
Noix,677,2830,"14,3",15,"62,2",2,544,129,82
Noix du Brésil,676,2836,9,16,64,"1,5",600,225,176
Noix de cajou,612,2558,26,19,48,15,552,267,46
Noix de coco fraîche,370,1546,10,4,35,20,370,35,21
Noix de coco sèche,630,2633,16,6,60,35,651,62,40
Olive verte,207,865,6,"0,8",20,128,1520,2,105
Olive noire,156,652,"3,5","1,6",15,132,1520,5,85
Orange,50,209,"11,7","0,5","0,1",3,200,13,31
Pamplemousse,41,171,"9,2","0,6","0,2",2,230,11,19
Papaye fraîche,44,184,10,"0,2","0,6",3,211,40,31
Pastèque,25,104,"5,3","0,4","0,2",4,158,8,5
Pêche,50,209,"11,6","0,6","0,1",3,260,9,4
Pêche séchée,281,1175,"65,5","3,3","0,6",16,1340,54,42
Pistache fraîche,638,2667,"15,2",4,"54,5",5,972,58,131
Poire,61,255,14,"0,4","0,4",3,130,7,12
Poire sucrée en conserve,79,330,19,"0,4","0,1",2,130,8,8
Pomme,52,217,12,"0,3","0,3",2,120,5,6
Pomme en compote,83,397,"19,8","0,3","0,2","0,3",55,5,4
Pomme séchée,282,1178,65,"1,4","1,9",10,576,24,24
Prune,50,209,"11,2","0,8","0,2",3,221,10,11
Prune sucrée en conserve,84,351,"20,3","0,4","0,1",5,150,5,10
Pruneau,290,1212,70,"2,3","0,4",10,950,40,45
Raisin frais,81,339,17,1,1,2,198,10,20
Raisin sec,311,1300,"76,5","1,1","0,1",31,860,36,31
Groseille blanche,,,"9,8","1,3","0,1",2,290,9,22
Noisette,,,15,14,60,3,600,150,200
Rhubarbe,,,"3,8","0,6","0,1",5,300,16,51
Poire séchée,,,62,"1,8","1,8",13,585,31,40
Airelle sucrée en conserve,,,30,"0,3","0,5",3,180,5,12
